====================== Pair 1 ======================
In_Time		Out_Time	Long\Short	PNL	  PNL_sum	Info
2013-06-03	2013-07-05	RB1401\RB1310	-0.0004	  -0.0004	RB1310基差越下限入场，基差回归出场
2013-07-18	2013-08-08	RB1310\RB1401	0.0048	  0.0044	RB1310基差越上限入场，基差回归出场
2013-08-12	2013-08-14	RB1401\RB1310	0.0021	  0.0065	RB1310基差越下限入场，基差回归出场
2013-08-16	2013-09-30	RB1310\RB1401	-0.0041	  0.0024	RB1310基差越上限入场，最后时间出场

Time		RB1310	RB1401	Basis1	Basis2	PNL_daily PNL_sum
2013-06-03	3483	3559	-253	-329	0.0000	  0.0000
2013-06-04	3478	3562	-238	-322	0.0023	  0.0023
2013-06-05	3482	3566	-242	-326	-0.0000	  0.0023
2013-06-06	3421	3483	-191	-253	-0.0059	  -0.0036
2013-06-07	3421	3486	-191	-256	0.0009	  -0.0028
2013-06-13	3422	3481	-212	-271	-0.0017	  -0.0045
2013-06-14	3424	3492	-224	-292	0.0026	  -0.0019
2013-06-17	3477	3558	-257	-338	0.0034	  0.0014
2013-06-18	3485	3568	-245	-328	0.0005	  0.0020
2013-06-19	3526	3602	-286	-362	-0.0022	  -0.0003
2013-06-20	3482	3550	-242	-310	-0.0020	  -0.0022
2013-06-21	3516	3610	-256	-350	0.0070	  0.0048
2013-06-24	3450	3537	-180	-267	-0.0015	  0.0033
2013-06-25	3456	3520	-186	-250	-0.0066	  -0.0032
2013-06-26	3425	3473	-155	-203	-0.0044	  -0.0077
2013-06-27	3471	3531	-221	-281	0.0032	  -0.0044
2013-06-28	3488	3535	-238	-285	-0.0038	  -0.0082
2013-07-01	3484	3533	-224	-273	0.0006	  -0.0076
2013-07-02	3504	3561	-204	-261	0.0022	  -0.0054
2013-07-03	3548	3616	-218	-286	0.0028	  -0.0026
2013-07-04	3549	3621	-169	-241	0.0011	  -0.0015
2013-07-05	3545	3621	-145	-221	0.0011	  -0.0004
2013-07-08	3537	3608	-137	-208	0.0000	  -0.0004
2013-07-09	3533	3597	-133	-197	0.0000	  -0.0004
2013-07-10	3560	3638	-170	-248	0.0000	  -0.0004
2013-07-11	3564	3646	-164	-246	0.0000	  -0.0004
2013-07-12	3575	3656	-135	-216	0.0000	  -0.0004
2013-07-15	3581	3661	-141	-221	0.0000	  -0.0004
2013-07-16	3588	3677	-118	-207	0.0000	  -0.0004
2013-07-17	3595	3679	-105	-189	0.0000	  -0.0004
2013-07-18	3590	3680	-90	-180	0.0000	  -0.0004
2013-07-19	3598	3692	-98	-192	-0.0010	  -0.0014
2013-07-22	3589	3678	-69	-158	0.0013	  -0.0001
2013-07-23	3593	3688	-63	-158	-0.0016	  -0.0017
2013-07-24	3606	3694	-66	-154	0.0020	  0.0003
2013-07-25	3598	3685	-58	-145	0.0002	  0.0005
2013-07-26	3583	3669	-43	-129	0.0002	  0.0007
2013-07-29	3566	3637	-46	-117	0.0040	  0.0047
2013-07-30	3561	3633	-61	-133	-0.0003	  0.0044
2013-07-31	3564	3644	-104	-184	-0.0022	  0.0022
2013-08-01	3574	3647	-134	-207	0.0020	  0.0042
2013-08-02	3594	3677	-144	-227	-0.0026	  0.0016
2013-08-05	3605	3685	-145	-225	0.0009	  0.0024
2013-08-06	3607	3691	-127	-211	-0.0011	  0.0014
2013-08-07	3628	3715	-138	-225	-0.0007	  0.0007
2013-08-08	3669	3743	-159	-233	0.0037	  0.0044
2013-08-09	3675	3755	-165	-245	0.0000	  0.0044
2013-08-12	3717	3810	-207	-300	0.0000	  0.0044
2013-08-13	3727	3838	-187	-298	0.0046	  0.0091
2013-08-14	3718	3819	-148	-249	-0.0025	  0.0065
2013-08-15	3700	3819	-120	-239	0.0000	  0.0065
2013-08-16	3672	3811	-92	-231	0.0000	  0.0065
2013-08-19	3658	3812	-88	-242	-0.0041	  0.0024
2013-08-20	3653	3796	-93	-236	0.0028	  0.0053
2013-08-21	3632	3789	-92	-249	-0.0039	  0.0013
2013-08-22	3597	3769	-77	-249	-0.0044	  -0.0030
2013-08-23	3627	3817	-127	-317	-0.0043	  -0.0074
2013-08-26	3621	3813	-121	-313	-0.0006	  -0.0080
2013-08-27	3622	3818	-112	-308	-0.0010	  -0.0090
2013-08-28	3585	3767	-75	-257	0.0032	  -0.0059
2013-08-29	3569	3749	-79	-259	0.0003	  -0.0055
2013-08-30	3560	3753	-70	-263	-0.0036	  -0.0091
2013-09-02	3562	3787	-72	-297	-0.0085	  -0.0176
2013-09-03	3552	3745	-52	-245	0.0083	  -0.0092
2013-09-04	3549	3737	-49	-237	0.0013	  -0.0080
2013-09-05	3551	3732	-61	-242	0.0019	  -0.0061
2013-09-06	3540	3723	-60	-243	-0.0007	  -0.0067
2013-09-09	3551	3752	-71	-272	-0.0047	  -0.0114
2013-09-10	3543	3736	-63	-256	0.0020	  -0.0094
