nameid1,nameid2,coef1,coef2,upperlim,lowerlim
RB1505.SHF,RB1510.SHF,1,1,0,-150
RU1505.SHF,RU1509.SHF,1,1,100,-400
J1505.DCE,J1509.DCE,1,1,0,-40
JM1505.DCE,JM1509.DCE,1,1,0,-40
CU1504.SHF,CU1505.SHF,1,1,100,-100
P1505.DCE,P1509.DCE,1,1,20,-100
Y1505.DCE,Y1509.DCE,1,1,0,-100
OI505.CZC,OI509.CZC,1,1,0,-100
L1505.DCE,L1509.DCE,1,1,500,-600
V1505.DCE,V1509.DCE,1,1,50,-500
RB1510.SHF,RB1601.SHF,1,1,0,-150
RU1509.SHF,RU1601.SHF,1,1,100,-400
J1509.DCE,J1601.DCE,1,1,0,-40
JM1509.DCE,JM1601.DCE,1,1,0,-40
CU1505.SHF,CU1506.SHF,1,1,100,-100
P1509.DCE,P1601.DCE,1,1,20,-100
Y1509.DCE,Y1601.DCE,1,1,0,-100
OI509.CZC,OI601.CZC,1,1,0,-100
L1509.DCE,L1601.DCE,1,1,500,-600
V1509.DCE,V1601.DCE,1,1,50,-500
RU1509.SHF,RU1511.SHF,1,1,50,-100
JM1505.DCE,J1505.DCE,1.2,1,-120,-200
RB1505.SHF,I1505.DCE,0.3,1,255,200
JM1509.DCE,J1509.DCE,1.2,1,-120,-200
RB1510.SHF,I1509.DCE,0.3,1,275,220
