nameid1,nameid2,coef1,coef2,upperlim,lowerlim
RB1505,RB1510,1,1,0,-150
RU1505,RU1509,1,1,100,-400
J1505,J1509,1,1,0,-40
JM1505,JM1509,1,1,0,-40
CU1504,CU1505,1,1,100,-100
P1505,P1509,1,1,20,-100
Y1505,Y1509,1,1,0,-100
OI505,OI509,1,1,0,-100
L1505,L1509,1,1,500,-600
V1505,V1509,1,1,50,-500
RB1510,RB1601,1,1,0,-150
RU1509,RU1601,1,1,100,-400
J1509,J1601,1,1,0,-40
JM1509,JM1601,1,1,0,-40
CU1505,CU1506,1,1,100,-100
P1509,P1601,1,1,20,-100
Y1509,Y1601,1,1,0,-100
OI509,OI601,1,1,0,-100
L1509,L1601,1,1,500,-600
V1509,V1601,1,1,50,-500
RU1509,RU1511,1,1,50,-100
JM1505,J1505,1.2,1,-120,-200
RB1505,I1505,0.3,1,255,200
JM1509,J1509,1.2,1,-120,-200
RB1510,I1509,0.3,1,275,220
